LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 129.0, 24617.0, 3584, 1.0, 12610.0, 9408, 255.0, 24899.0, 1548800, -52429.0, -1.0, 2621450, -377.0, -1.0, 18850, 24963.0, 55938.0, 1548800,
1, 129.0, 16299.0, 3840, 1.0, 13320.0, 36864, 255.0, 16425.0, 933120, -37325.0, -1.0, 1866250, -1475.0, -1.0, 73750, 16489.0, 35151.0, 933120,
2, 129.0, 16299.0, 3840, 1.0, 13320.0, 36864, 255.0, 16425.0, 933120, -37325.0, -1.0, 1866250, -1475.0, -1.0, 73750, 16489.0, 35151.0, 933120,
3, 129.0, 16299.0, 3840, 1.0, 13320.0, 36864, 255.0, 16425.0, 933120, -37325.0, -1.0, 1866250, -1475.0, -1.0, 73750, 16489.0, 35151.0, 933120,
4, 129.0, 16299.0, 3840, 1.0, 13320.0, 36864, 255.0, 16425.0, 933120, -37325.0, -1.0, 1866250, -1475.0, -1.0, 73750, 16489.0, 35151.0, 933120,
5, 129.0, 5610.0, 3840, 1.0, 4792.0, 73728, 255.0, 5829.0, 501760, -10036.0, -1.0, 501800, -1475.0, -1.0, 73750, 5829.0, 15864.0, 501760,
6, 129.0, 9395.0, 6912, 1.0, 8592.0, 147456, 255.0, 9521.0, 778752, -15576.0, -1.0, 778800, -2950.0, -1.0, 147500, 9521.0, 25096.0, 778752,
7, 129.0, 1002.0, 256, 65.0, 128.0, 8192, 255.0, 1222.0, 107648, -2153.0, -1.0, 107650, -164.0, -1.0, 8200, 1222.0, 3374.0, 107648,
8, 129.0, 9395.0, 6912, 1.0, 8592.0, 147456, 255.0, 9521.0, 778752, -15576.0, -1.0, 778800, -2950.0, -1.0, 147500, 9521.0, 25096.0, 778752,
9, 129.0, 9395.0, 6912, 1.0, 8592.0, 147456, 255.0, 9521.0, 778752, -15576.0, -1.0, 778800, -2950.0, -1.0, 147500, 9521.0, 25096.0, 778752,
10, 129.0, 10262.0, 13824, 1.0, 9954.0, 294912, 255.0, 10403.0, 451584, -4516.0, -1.0, 225800, -5899.0, -1.0, 294950, 10403.0, 19434.0, 451584,
11, 129.0, 18809.0, 27648, 1.0, 18538.0, 589824, 255.0, 18935.0, 663552, -6636.0, -1.0, 331800, -11797.0, -1.0, 589850, 18935.0, 32206.0, 663552,
12, 129.0, 1071.0, 512, 1.0, 735.0, 32768, 255.0, 1213.0, 57600, -576.0, -1.0, 28800, -656.0, -1.0, 32800, 1213.0, 2364.0, 57600,
13, 129.0, 18809.0, 27648, 1.0, 18538.0, 589824, 255.0, 18935.0, 663552, -6636.0, -1.0, 331800, -11797.0, -1.0, 589850, 18935.0, 32206.0, 663552,
14, 129.0, 18809.0, 27648, 1.0, 18538.0, 589824, 255.0, 18935.0, 663552, -6636.0, -1.0, 331800, -11797.0, -1.0, 589850, 18935.0, 32206.0, 663552,
15, 129.0, 30897.0, 55296, 1.0, 30729.0, 1179648, 255.0, 31031.0, 451584, -2258.0, -1.0, 112900, -23593.0, -1.0, 1179650, 31031.0, 40062.0, 451584,
16, 129.0, 58481.0, 110592, 1.0, 58329.0, 2359296, 255.0, 58607.0, 460800, -2304.0, -1.0, 115200, -47186.0, -1.0, 2359300, 58607.0, 67822.0, 460800,
17, 129.0, 3432.0, 2048, 1.0, 3250.0, 131072, 255.0, 3567.0, 65536, -328.0, -1.0, 16400, -2622.0, -1.0, 131100, 3567.0, 4877.0, 65536,
18, 129.0, 58481.0, 110592, 1.0, 58329.0, 2359296, 255.0, 58607.0, 460800, -2304.0, -1.0, 115200, -47186.0, -1.0, 2359300, 58607.0, 67822.0, 460800,
19, 129.0, 58481.0, 110592, 1.0, 58329.0, 2359296, 255.0, 58607.0, 460800, -2304.0, -1.0, 115200, -47186.0, -1.0, 2359300, 58607.0, 67822.0, 460800,
20, 129.0, 12129.0, 8192, 1.0, 12001.0, 512000, 255.0, 12231.0, 4000, -11.0, -1.0, 550, -10486.0, -1.0, 524300, 12255.0, 12334.0, 4000,
