LayerID, Sparsity Representation, Original Filter Storage, New Storage (Filter+Metadata), Filter Metadata Storage, Avg FILTER Metadata SRAM BW, 
0, ellpack_block, 9408, 2516.0, 148.0, 0.009892386872535259,
1, ellpack_block, 36864, 9792.0, 576.0, 0.05300450906413914,
2, ellpack_block, 36864, 9792.0, 576.0, 0.05300450906413914,
3, ellpack_block, 36864, 9792.0, 576.0, 0.05300450906413914,
4, ellpack_block, 36864, 9792.0, 576.0, 0.05300450906413914,
5, ellpack_block, 73728, 19584.0, 1152.0, 0.3288609763060234,
6, ellpack_block, 147456, 39168.0, 2304.0, 0.500651890482399,
7, ellpack_block, 8192, 2176.0, 128.0, 0.093841642228739,
8, ellpack_block, 147456, 39168.0, 2304.0, 0.500651890482399,
9, ellpack_block, 147456, 39168.0, 2304.0, 0.500651890482399,
10, ellpack_block, 294912, 78336.0, 4608.0, 0.8947572815533981,
11, ellpack_block, 589824, 156672.0, 9216.0, 0.3843042408573454,
12, ellpack_block, 32768, 8704.0, 512.0, 0.4220939818631492,
13, ellpack_block, 589824, 156672.0, 9216.0, 0.3843042408573454,
14, ellpack_block, 589824, 156672.0, 9216.0, 0.3843042408573454,
15, ellpack_block, 1179648, 313344.0, 18432.0, 0.23915610281428812,
16, ellpack_block, 2359296, 626688.0, 36864.0, 0.11141367585946355,
17, ellpack_block, 131072, 34816.0, 2048.0, 1.1486259113853057,
18, ellpack_block, 2359296, 626688.0, 36864.0, 0.11141367585946355,
19, ellpack_block, 2359296, 626688.0, 36864.0, 0.11141367585946355,
20, ellpack_block, 512000, 136000.0, 8000.0, 0.7816316560820713,
